Rel_Abundance	AI_AcidSludgeSampleA_PacBio	AI_AcidSludgeSampleB_PacBio	AI_DMB5_1SRT_Day06_PacBio	AI_DMB5_3SRT_Day18_Illumina	AI_DMB5_5SRT_Day30_Illumina	AI_DMB5_7SRT_Day42_Illumina	KW_CSTR_Day000_Illumina	KW_CSTR_Day012_Illumina	KW_CSTR_Day024_PacBio	KW_CSTR_Day036_Illumina	KW_CSTR_Day044_PacBio	KW_CSTR_Day049_Illumina	KW_CSTR_Day054_Illumina	KW_CSTR_Day060_PacBio	KW_CSTR_Day066_Illumina	KW_CSTR_Day072_Illumina	KW_CSTR_Day078_Illumina	KW_CSTR_Day084_Illumina	KW_CSTR_Day097_Illumina	KW_CSTR_Day108_Illumina	KW_CSTR_Day120_Illumina	KW_CSTR_Day126_Illumina	KW_CSTR_Day146_Illumina	KW_CSTR_Day168_Illumina	KW_CSTR_Day192_Illumina	KW_CSTR_Day216_PacBio	KW_USB_Day000_Illumina	KW_USB_Day015_Illumina	KW_USB_Day021_Illumina	KW_USB_Day028_Illumina	KW_USB_Day042_PacBio	KW_USB_Day056_Illumina	KW_USB_Day063_Illumina	KW_USB_Day077_Illumina	KW_USB_Day098_PacBio	KW_USB_Day105_Illumina	KW_USB_Day126_Illumina	KW_USB_Day148_Illumina	KW_USB_Day176_Illumina	KW_USB_Day197_PacBio	MS_ConversionResidue_Day012_Illumina	MS_ConversionResidue_Day048_Illumina	MS_ConversionResidue_Day084_Illumina	MS_ConversionResidue_Day096_Illumina	MS_ConversionResidue_Day120_Illumina	MS_ConversionResidue_Day378_PacBio	MS_Xylose_16X_Illumina	MS_Xylose_17X_Illumina	MS_Xylose_18X_Illumina	NF_R1_Day000_TS00_Illumina	NF_R1_Day003_TS0_Illumina	NF_R1_Day014_TS2_Illumina	NF_R1_Day039_TS6_Illumina	NF_R1_Day063_TS10_PacBio	NF_R1_Day075_TS12_Illumina	NF_R2_Day003_TS16_Illumina	NF_R2_Day028_TS20_Illumina	NF_R2_Day052_TS24_PacBio	NF_R2_Day064_TS26_Illumina	NF_R2_Day090_TS30_Illumina	NF_R2_Day100_TS32_PacBio	NF_R2_Day138_TS38_Illumina	NF_R2_Day166_TS43_PacBio	NF_R2_Day202_TS49_Illumina	NF_R3_Day024_TSR4_Illumina	NF_R3_Day048_TSR8_Illumina	NF_R3_Day066_TSR11_Illumina	NF_R3_Day070_TSR13_Illumina	NF_R3_Day114_TSR19_Illumina	NF_R3_Day162_TSR27_Illumina	NF_R4_Day013_TST2_Illumina	NF_R4_Day024_TST4_Illumina	NF_R4_Day062_TST10_Illumina	NF_R4_Day072_TST12_Illumina	NF_R4_Day120_TST20_Illumina	NF_R4_Day162_TST27_Illumina	NF_R5_Day036_TSTR6_Illumina	NF_R5_Day066_TSTR11_Illumina
UW_TS_LAC3_1	0	0	2.41163545	4.89627645	0.551001085	0.26935559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.74216706	7.5675955	3.583874	0.31859392	7.8355646	0.6431939	0.060255222	0.5588481	2.8181188	1.62526585	0.89184225	0.036525574	0.8273822	1.800469	4.3984213	7.3851027	1.4798524	2.0722647	2.5514338	4.4181266	0.6647647	0.7217346	0.90403575	0.9008526	1.038649	0.648477	0.6666739
UW_MP_BIF2_1	0	0	0.123701195	0.30569355	0.011442319	0	0	0.008424724	0.005252438	0.004445992	0	0.015526827	0.01657708	0	0.012145658	0.038790166	0.25825638	0.16642724	0.28936285	1.7123114	3.966619	4.761631	17.447056	13.150032	3.831656	0.62455539	0	3.2289765	1.7463692	4.9037175	18.0238475	29.76657	21.740448	21.24746	14.359021	16.545406	28.152441	45.27138	32.92716	44.039288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UW_MP_LEUC1_1	0	0	0.35539285	1.0501736	0.056355812	0.076360655	0	0.018993989	0.01719294	0.505175	0.412467347	1.6109947	1.7949144	1.6333388	0.42934227	0.31988308	0.338057	0.051877093	0.019408785	0.14689192	0.23716392	0.18882585	0.08084278	0.085386686	0	0	0.003128186	0	0	0	0	0.004890666	0	0	0.004362053	0.006407707	0.005710459	0.003303061	0.004017477	0	0	0	0	0	0	0	0	0	0	0	0.018559683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UW_DM_LIMLAC2_1	0	0	5.922298325	0.281859845	1.58068905	6.00777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.186415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UW_MP_BIF10_1	0	0	0.145395133	0.161019265	0	0	0	0	0	0	0	0.013718973	0.018208215	0	0.023133263	0.24583058	0.07585837	0.01620605	0.025061283	0.13615791	0.10890884	0.048082344	0.04047242	0.11949219	0	0	0	0.39693695	0.29321697	0.10631995	0	0.015549656	0.029115295	0.064493954	0.138495175	0.33087447	0.22654285	0.11742818	0.271565	4.1053376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UW_MP_LIQLAC1_1	0	0	0.040955778	0.124939755	0.043272618	0.3167953	0	0	0	0	0	0	0	0	0	0.014560512	1.7494576	0.26165026	0.037917446	0.013925261	0.42336902	0.1646169	0.042523623	0.05412168	0.07211388	0.017769797	0	0.11620082	0.40436298	0.1873788	0.097094448	0.47419676	0.45484966	0.9205258	2.1517465	1.3999661	0.92385507	0.3025353	0.60634255	0.37029377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UW_TS_ATO2_1	0	0	0	0	0	0	0	1.2758392	0.141034985	0.059933197	0	0.0957283	0.113550045	0	0.10137788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029791249	2.2920082	4.692965	3.8165405	2.9581013	4.2298727	1.0630826	0.72330064	0.64691967	0	0	0.11022113	0.45582572	3.3293784	0.20512635	1.4404019	0.115775704	0.03617725	0.044226456	0.0520219	0.07207484	0.041592896	0.08901256	0.03084502	0.034995835	0.013699084	0.41916326	0.0764491	0.13799003	0.5173971	0.10518967	0.019383358	0.027700068	0	0	0	0	0
UW_TS_ATO3_1	0	0	0	0	0	0	0	0.22627789	0.717153933	0.59772813	0	0.46598607	0.13964748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2003326	0.7592694	0.6297314	1.2491345	0.71572477	0.09852498	0.06359646	0.05437211	0	0	0	0.2617187	0.30960482	0.23978321	0.14967692	0.10533583	0.012904482	0.029004026	0.10227296	0.05910683	0.024072241	0.01993309	0.020465482	0.073715664	0.029487668	0.22281669	0.03914972	0.2496975	0.234228	0.49718913	0.018415794	0.029828796	0	0	0	0	0
UW_TS_COMLAC1_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024303216	1.5278072	13.048953	0.84337616	1.6290054	15.053311	2.0164754	1.2984056	0.36493254	1.8255292	2.4183911	1.3943182	1.05916165	1.0182759	0.16156316	18.661968	9.598227	1.1961079	7.452458	5.2523026	0.1300146	3.7694726	24.752508	0.70422405	1.7983186	2.7616482	2.1329389	0.73034465
UW_TS_FURLAC1_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00832121	0	0	0	0	0.24603574	39.416115	62.1719875	44.744583	54.523506	48.72018	29.643873	62.0168275	34.171272	58.046005	41.105732	47.914608	22.485737	28.07187	41.428364	21.602823	27.04105	26.912834	58.835873	50.79012	58.76842	26.708708	27.815304
MS_EUB1_2018_genome	0	0	0	0	0	0	0	0	0	0	0	0	0.018882994	0	0.002284746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.110095814	14.359555	4.3700366	5.1639895	3.972933	1.0292467	0.9175276	1.0896345	1.1558049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UW_DM_MEG1_1	0	0	49.477145	1.26357	0.012758224	0.86039197	0	0.4113074	0.010429555	0.4310621	0.439522473	0.16707683	0.00701479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1407048	12.298484	8.418507	0.7445196	0.16001223	0.12271964	0.05024721	0.016635882	0.02434962	0	0	0.063949876	0.012795225	0.90750605	0	0	0	0	0	0	0	0	0	0.010167847	0.31052753	0.012225438	0.0603455	0.009626533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UW_MP_ACID1_1	0	0	0	0	0	0	0	0	0.400920963	10.236365	3.131480433	3.3426723	0.91129565	0.045895513	0.005413444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UW_MP_BACTE1_1	0	0	0	0	0	0	0	0.11185089	1.117811247	1.9968079	3.635951733	5.6791916	1.0251768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027606783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UW_MP_CLOS1_1	0	0	0	0	0.03781206	0	0	0	0	0	0	0	0	0	0	0	0	0.1855516	13.905853	5.9500594	24.73206	43.423374	45.574352	32.446148	35.15778	40.907532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UW_MP_CLOS2_1	0	0	0.13799742	1.38129005	4.1756676	6.2556007	0	0	0	0	0	0	0	0	0	0	0	0	0.11704789	0.05263978	0	0	0	0	0	0	0	0.5110681	0.26692802	0.038389605	0.086888435	0.41993073	0.23841389	1.6916248	3.0324886	4.9523187	6.6083055	0.9683875	2.5994608	1.751886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UW_MP_MEG5_1	0	0	0	0	0	0	0	0	0.011488759	0.016904317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018389756	0.18950325	0.48672462	0	0.38621187	0.36641005	0.12840316	0.02953501	0.07276691	0.089383684	0.13601129	2.3576064	2.0141542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UW_MP_ACID2_1	0	0	0	0	0	0	0.005259582	1.5649115	1.843809	0.20780283	0	0.014228278	0.003774073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007298903	0.07163945	0.06394493	0	0.13083765	0.092049286	0.075385176	0.021967835	0.03572302	0.017924095	0.009849521	0.048910365	0.011763583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UW_MP_ANA1_1	0	0	0	0	0	0	0	0	0	0	0	1.8910097	5.491991	4.21281735	1.2720946	0.6751367	0.3919201	1.0809251	0.05370961	0.022383928	0.007084432	0	0	0	0	0.028939199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0601821	0.05101417	0.023955194	0.02634504	0.01048993	0.04421375	0.055128805	0.079087414	0.08206135	0	0	0	0.04693209	0	0	0.0659316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16403125	0	0	0	0	0	0	0
UW_TS_EUB1_1	0	0	0	0	0	0	0	0	0	0	0	0.21253987	0.21295105	0.045419371	0.06960322	0.042442407	0.025647039	0.030178916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3400361	0.0328685	0.06035346	0.02224493	0.14752342	0.05714647	0.08204375	0.05219502	0	0	0	4.324089	1.0868804	1.4202144	6.228764	2.147684	0.12806566	0.10483382	0.5514301	0.61086899	0.25385904	0.40050726	0.22751471	0.3823696	0.012211341	0.5536151	0.27399895	0.27591786	0.36093423	16.20863	0.02850004	0.0837058	0	0	0	0	0
UW_TS_EUB2_1	0	0	0	0	0	0	0	0	0	0	0	0	0.005967989	0	0.003221749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04029884	0	0	0	0	0.0132826	0.007203818	0.007378039	0.013339547	0	0	0	0.59148186	0.65178114	2.562879	2.5867994	4.137288	0.4455072	0.33183393	0.78109294	0.46707262	0.69619316	0.284682885	0.3019336	0.18400382	0	1.4548806	0.5562352	1.1443809	2.48548	0.5682123	0.033255074	0.04415879	0	0	0	0	0
UW_MP_LCO1_1	0	0	0	0	0	0	0.023763465	1.7287723	18.74255767	3.8243358	1.0143291	0.20940202	0.043360263	0	0	0	0	0.018130168	0	0	0	0	0	0	0	0	0.019088773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022003638	0.005924799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UW_TS_LCO2_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9536762	0	0	0	0	0	0	0	0	0	0	0	0	0.16491552	0.64282864	0.32739195	0.56102806	0.16912076	0.4303944	0.49651524	0.412812515	1.0261393	1.0461775	0.90467656	0.05236433	0	0	0	0	0	0.36361063	0.008008225	0.008913186	0	0	0	0	0
UW_TS_LCO3_1	0	0	0	0	0	0	0	0.03207318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009502254	0	0	0	0	0	0	0	0	0	0	0	0	0	17.601667	0.03668618	0.14865641	0	0	0	0	0	0	0.00854584	0.017276013	0	0	2.7878542	11.65079	15.596289	15.094881	13.9730185	12.100796	8.050982	12.5045175	17.499466	13.0857975	14.203154	0.016190559	0.02752128	0	0	0	0	0.45780894	0.006459995	0.06496674	0	0	0	0	0
MS_LCO1_2018_genome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19542514	6.4277263	52.96451	43.52942	48.424885	61.860664	82.19678	82.41807	80.666985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UW_MP_ACUT1_1	0	0	0	0	0	0	0	0	0	0	0	0	0.04051973	0.17905216	0.60391617	0.6506688	0.62689495	0.51321334	0.07753659	0.019185595	0.005520619	0	0.019948754	0.00454504	0	0.036192145	0	0	0.003358391	0.5433192	2.3891905	4.8158803	5.9699297	5.818592	5.1453825	3.8084204	1.2790474	1.9319927	0.60252655	0.055916924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UW_MP_SPH1_1	0	0	0	0	0	0	0	0	0.251485273	2.6105757	1.510179267	0.35616136	0.0946249	0	0	0	0	0	0.004143119	0.008388713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UW_DM_BACIL1_1	4.62887685	2.666916	0.251315758	0.079429583	0.003147709	0	0.30912232	0.04218546	0.003237997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42331693	0.041575897	0.00491489	0	0	0.013975785	0.00918346	0	0	0	0	0	0.007599147	0.003856364	0	0	0	0	0	0	0	0	0	2.4964445	0.23276861	0.08878995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UW_DM_BURK1_1	0	0	3.818919925	2.84508205	0.20044856	0.57935957	0	0.013718635	0.082469045	0.062822595	0.090874525	0.18755367	0.054554228	0	0	0	0	0	0.05379092	1.3943402	0.08021137	0.03138618	0.28052625	0.16245313	0.7239872	0.026017965	0	0	0.12749314	0.09158011	0.053549173	0.09086843	0.13829829	0.1486032	0.063999535	0.056005772	0.04495125	0.02357009	0.043638002	0.017438479	0.02335686	0	0	0	0	0	0	0	0	0	0.006949254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UW_MP_ATO4_1	0	0	0	0	0	0	0	0.114747435	0.212497937	4.6048846	0.66993092	0.55030584	0.21527113	0	0.05643419	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007186601	0.043564074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UW_MP_BACIL2_1	0	0	0	0	0	0	0	0.035232157	0.339561473	1.3096204	1.282368533	1.0980928	0.58238685	0	0.001969817	0	0	0	0.010342225	0.018691208	0.019310553	0.005694231	0.023208514	0.008920948	0.021970388	0.006282158	0	0	0.063687764	0.24318075	0.41768028	0.3235713	0.38002056	0.2122184	0.0290186	0.046028536	0.030329337	0.007607187	0.06533247	0.009663384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UW_TS_ACET1_1	0	0	0	0.433160755	0.5761345	0.548778595	0	0	0	0	0	0	0	0	0	0	0.003896165	0.004449863	0.029134192	0.09938181	0.049121182	0.032532923	0.017710302	0.024196746	0.011603943	0.005211951	0	0.22648144	0.10901727	0.030877674	0	0.005028853	0.005678813	0.010364867	0.005503858	0.039566547	0.030487258	0.1281824	0.029608073	0.013811204	0	0	0	0	0	0	0	0	0	0	0.092923164	0.59828717	2.9696214	4.6874595	2.8742383	0.10004347	5.2140937	2.45312535	2.5866761	3.0455065	4.570248	9.57098	0.294078125	14.277648	0.5173301	3.992592	3.4962301	9.135893	10.044882	0.8697782	1.2849302	0.7192029	1.4475029	10.250123	3.7019753	3.5771072	0.85587645	1.151468
UW_TS_LCO1_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.417574	0.10360067	0	0	0	0	0	0	0	0	0	0	0.012102796	5.755473	3.4232526	1.7306345	1.7629089	0.18321587	0.38736266	1.2325568	0.5916015	0.9660202	0.67672137	0.5036253	0.007498187	0.003263896	0	0	0	0	0.15905303	0	0	0	0	0	0	0
